image_path,predicted_idx,confidence,entropy,predicted_label,rank
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000054_026.jpg,2,0.27782267332077026,1.3831757307052612,PLAYFUL,0
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000593_007.jpg,3,0.29696980118751526,1.3731964826583862,RELAXED,1
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001427_012.jpg,0,0.31407883763313293,1.3725981712341309,ALERT,2
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000426_026.jpg,2,0.31391650438308716,1.367480993270874,PLAYFUL,3
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000050_010.jpg,1,0.3427552580833435,1.3600130081176758,ANXIOUS,4
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000857_023.jpg,2,0.31773844361305237,1.3490054607391357,PLAYFUL,5
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001381_021.jpg,2,0.37007755041122437,1.3482028245925903,PLAYFUL,6
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000825_021.jpg,1,0.34954753518104553,1.3478926420211792,ANXIOUS,7
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000158_017.jpg,1,0.38146084547042847,1.3433504104614258,ANXIOUS,8
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000686_018.jpg,1,0.337460458278656,1.3421941995620728,ANXIOUS,9
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000523_028.jpg,0,0.3689260184764862,1.3419208526611328,ALERT,10
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000558_008.jpg,1,0.38411059975624084,1.3400744199752808,ANXIOUS,11
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000289_025.jpg,3,0.3387064039707184,1.33999764919281,RELAXED,12
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001411_005.jpg,0,0.3579922914505005,1.330351710319519,ALERT,13
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000048_001.jpg,3,0.3849950432777405,1.3300058841705322,RELAXED,14
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001068_019.jpg,1,0.3812110424041748,1.3228176832199097,ANXIOUS,15
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000963_019.jpg,0,0.37021881341934204,1.3184685707092285,ALERT,16
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000317_019.jpg,3,0.3532252311706543,1.3148939609527588,RELAXED,17
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000850_000.jpg,2,0.3776179254055023,1.3139640092849731,PLAYFUL,18
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000944_000.jpg,3,0.4095381796360016,1.3053922653198242,RELAXED,19
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000651_024.jpg,2,0.3626534938812256,1.3015166521072388,PLAYFUL,20
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000234_007.jpg,3,0.40412813425064087,1.2975555658340454,RELAXED,21
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000135_026.jpg,3,0.35562190413475037,1.2975449562072754,RELAXED,22
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001160_027.jpg,2,0.3751906454563141,1.2952042818069458,PLAYFUL,23
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000502_023.jpg,3,0.4317346513271332,1.2950515747070312,RELAXED,24
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000121_028.jpg,3,0.3658895194530487,1.2934972047805786,RELAXED,25
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000213_028.jpg,3,0.4453662633895874,1.2927236557006836,RELAXED,26
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000297_024.jpg,1,0.43514537811279297,1.2873129844665527,ANXIOUS,27
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000301_017.jpg,1,0.43514537811279297,1.2873129844665527,ANXIOUS,28
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000955_011.jpg,3,0.44568726420402527,1.287266731262207,RELAXED,29
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000347_029.jpg,2,0.451067715883255,1.286156415939331,PLAYFUL,30
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001206_023.jpg,2,0.4396592974662781,1.2849774360656738,PLAYFUL,31
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000037_003.jpg,3,0.4009827971458435,1.2837591171264648,RELAXED,32
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000418_008.jpg,1,0.3403213918209076,1.280775547027588,ANXIOUS,33
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000387_015.jpg,0,0.3499574065208435,1.2796599864959717,ALERT,34
